Row_Id,Location,Date,Time,Fee,Instructor,Latitude,Longitude
29,"University of Texas Rio Grande Valley Environmental Health and Safety Building (EEHSB)   1201 West University Drive, EEHSB 104, Edinburg, TX, 78539",07/19/2019,8:00 AM - 9:30 AM,$0.00,John Guglielmo,26.30348003,-98.17627996
30,"University of Texas Rio Grande Valley Main Building (BMAIN)  1 West University Blvd., BMAIN 2.420, Brownsville, TX, 78520",07/02/19,1:00 PM - 2:30 PM,$0.00,John Guglielmo,25.9064763,-97.4996224
31,"University of Texas Rio Grande Valley Main Building (BMAIN)  1 West University Blvd., BMAIN 2.420, Brownsville, TX, 78520",07/02/19,10:00 AM - 11:30 AM,$0.00,John Guglielmo,25.9064763,-97.4996224
32,"University of Texas Rio Grande Valley Harlingen Clinical Education Building (HCEBL)  2102 Treasure Hills Blvd., HCEBL 1.132, Harlingen, TX, 78550",06/24/2019,2:00 PM - 3:30 PM,$0.00,John Guglielmo,26.17442961,-97.66677967
33,"WWAMI Classroom room #459, Health Sciences Building  1000 E. University Ave, Laramie, WY, 82070",05/20/2019,6:00 PM - 8:00 PM,$0.00,Ryan Winchell,41.31222873,-105.5827876
34,"WWAMI Classroom room #459, Health Sciences Building  1000 E. University Ave, Laramie, WY, 82070",06/12/19,6:00 PM - 8:00 PM,$0.00,Ryan Winchell,41.31222873,-105.5827876
35,"University of Utah Union Building  200 Central Campus Drive, Salt Lake City, UT, 84112",05/16/2019,3:00 PM - 4:30 PM,$0.00,Zach Robinson,40.76565753,-111.8447674
36,"University of Utah Union Building  200 Central Campus Drive, Salt Lake City, UT, 84112",05/16/2019,8:30 AM - 10:30 AM,$0.00,Zach Robinson,40.76565753,-111.8447674
37,"Leadmine United Methodist Church Fellowship Hall  5144 Horseshoe Run Road, Parsons, WV, 26287",05/23/2019,6:00 PM - 8:00 PM,$0.00,Joseph J. Strait,39.19359026,-79.58477922
38,"St. David's Episcopal Church  1801 Camborne Rd, North Chesterfield, VA, 23236",05/11/19,1:30 PM - 3:30 PM,$0.00,Jessica A. Robison,37.47379074,-77.56501048
39,"Irvington Presbyterian Church  25 N. Broadway, Irvington, NY, 10533",05/23/2019,7:00 PM - 9:00 PM,$0.00,Liz Poling-Hiraldo,41.04031365,-73.86454762
40,"11 Wilbraham Road  59 Princeton St, Springfield, MA, 01109",05/24/2019,5:00 PM - 7:00 PM,$0.00,Gloria M. Wilson,42.11115469,-72.56386709
41,"North American Rescue  35 Tedwall Ct, Greer, SC, 29650",05/16/2019,6:00 PM - 7:30 PM,$0.00,Chris Hoyne,34.86687776,-82.23937359
42,"North American Rescue  35 Tedwall Ct, Greer, SC, 29650",05/18/2019,9:00 AM - 11:00 AM,$0.00,Chris Hoyne,34.86687776,-82.23937359
43,"North American Rescue  35 Tedwall Ct, Greer, SC, 29650",05/18/2019,11:00 AM - 1:00 PM,$0.00,Chris Hoyne,34.86687776,-82.23937359
44,"North American Rescue  35 Tedwall Ct, Greer, SC, 29650",05/23/2019,6:00 PM - 8:00 PM,$0.00,Chris Hoyne,34.86687776,-82.23937359
45,"Lower King & Queen Fire - EMS  4764 York River Road , Shacklefords, VA, 23156",05/18/2019,9:00 AM - 10:30 AM,$25.00,Lisa R. Chandler,37.48960856,-76.70888298
46,"5.11 Tactical Springfield       6575 Frontier Dr Ste T, Springfield, VA, 22150",05/26/2019,12:30 PM - 2:30 PM,$0.00,Anthony Emanuele,38.77418616,-77.1714953
47,"SkyLab at UM  1210 Stanford Drive, Coral Gables, FL, 33146",05/04/19,10:00 AM - 12:00 PM,$0.00,Collin A. Lee,25.71818156,-80.27489872
48,"Homestead Training Center  11700 SW 304th St, Homestead, FL, 33033",05/18/2019,9:00 AM - 5:00 PM,$150.00,Dr. Marco R. Torres,25.48524652,-80.37938577
49,"North American Rescue  35 Tedwall Ct, Greer, FL, 29650",05/17/2019,3:00 PM - 4:30 PM,$0.00,Chris Hoyne,34.86687776,-82.23937359
50,"SRT Supply, As Part of National Stop the Bleed Month 2019  2870 Scherer Dr #300, St Petersburg, FL, 33716",05/15/2019,6:00 PM - 8:00 PM,$0.00,Eric Soderlund,27.87419,-82.63936
51,"PSA Training Academy  19401 S. Vermont Ave., Suite A205, Torrance, CA, 90502",05/18/2019,4:00 PM - 8:00 PM,$150.00,Shelby Benjamin,33.85476,-118.2905656
52,"Ellicott Preschool  4036 Slice Dr, Colorado Springs, CO, 80922",05/04/19,9:00 AM - 12:00 PM,$0.00,Sheryl Hummel,38.89028167,-104.7032968
53,"Cape Gun Works  96 Airport Road, Hyannis, MA, 02601",05/19/2019,1:00 PM - 3:30 PM,$35.00,Richard F. Todd,41.67229958,-70.29607155
54,"SSD Tactical Training, Inc.  2400 Boston Rd., Wilbraham, MA, 01095",05/10/19,6:00 PM - 9:30 PM,$20.00,David A. Williams,42.14949643,-72.45102801
55,"Ann Arbor Arms  45 Metty Dr, Ann Arbor, MI 48103, Ann Arbor, MI, 48103",05/11/19,12:00 PM - 1:30 PM,$40.00,Joshua Halka,42.29336167,-83.86728504
56,"Ann Arbor Arms  45 Metty Dr, Ann Arbor, MI 48103, Ann Arbor, MI, 48103",05/11/19,2:00 PM - 3:30 PM,$40.00,Joshua Halka,42.29336167,-83.86728504
57,"Ann Arbor Arms  45 Metty Dr, Ann Arbor, MI 48103, Ann Arbor, MI, 48103",05/11/19,4:00 PM - 5:30 PM,$40.00,Joshua Halka,42.29336167,-83.86728504
58,"Dreaming Creek Brewery  109 E Irvine Street, Richmond, KY, 40475",05/23/2019,6:00 PM - 8:00 PM,$0.00,David Fifer,37.74797108,-84.29314949
59,"Abbott EMS  2500 Abbott Pl., St. Louis, MO, 63143",05/29/2019,6:00 PM - 7:00 PM,$0.00,Rob D. McKay,38.61482577,-90.30542701
60,"Abbott EMS  2500 Abbott Pl., St. Louis, MO, 63143",07/31/2019,6:00 PM - 7:00 PM,$0.00,Rob D. McKay,38.61482577,-90.30542701
61,"Abbott EMS  2500 Abbott Pl., St. Louis, MO, 63143",09/25/2019,6:00 PM - 7:00 PM,$0.00,Rob D. McKay,38.61482577,-90.30542701
62,"Abbott EMS  2500 Abbott Pl., St. Louis, MO, 63143",11/27/2019,6:00 PM - 7:00 PM,$0.00,Rob D. McKay,38.61482577,-90.30542701
63,"Farm Credit East  7397 NY-80, Cooperstown, NY, 13326",05/23/2019,6:00 PM - 8:00 PM,$0.00,Becky-Ann Sears,42.81689905,-74.89679132
64,"5.11 Tactical Carle Place  233 Glen Cove Rd, Carle Place, NY, 11514",05/11/19,10:30 AM - 12:30 PM,$0.00,Anthony Emanuele,40.74881863,-73.61779703
65,"Huntingdon Pa  10527 Schoolhouse Hollow rd, Huntingdon, PA, 16652",05/19/2019,9:30 AM - 4:17 PM,$0.00,Robert C. Wilson,40.480282,-77.95712184
66,"LOWER PROVIDENCE ROD AND GUN CLUB  2857 Egypt Road, Audubon, PA, 19407",05/04/19,8:00 AM - 10:00 AM,$0.00,DAVID N. MAZZA,40.1317615,-75.43898056
67,"LOWER PROVIDENCE ROD AND GUN CLUB  2857 Egypt Road, Audubon, PA, 19407",06/22/2019,8:00 AM - 10:00 AM,$0.00,DAVID N. MAZZA,40.1317615,-75.43898056
68,"LOWER PROVIDENCE ROD AND GUN CLUB  2857 Egypt Road, Audubon, PA, 19407",09/07/19,8:00 AM - 10:00 AM,$0.00,DAVID N. MAZZA,40.1317615,-75.43898056
69,"LOWER PROVIDENCE ROD AND GUN CLUB  2857 Egypt Road, Audubon, PA, 19407",10/26/2019,8:00 AM - 10:00 AM,$0.00,DAVID N. MAZZA,40.1317615,-75.43898056
70,"LOWER PROVIDENCE ROD AND GUN CLUB  2857 Egypt Road, Audubon, PA, 19407",11/02/19,8:00 AM - 10:00 AM,$0.00,DAVID N. MAZZA,40.1317615,-75.43898056
71,"Thunderbolt, LLC.  494 Juniper Lane, Mount Vernon, OR, 97865",05/11/19,1:30 PM - 2:30 PM,$0.00,Rose Howe,44.42208154,-119.1140171
72,"Thunderbolt, LLC.  494 Juniper Lane, Mount Vernon, OR, 97865",05/12/19,1:30 PM - 2:30 PM,$0.00,Rose Howe,44.42208154,-119.1140171
73,"American Legion Gold Star Post  17 Cannon Avenue, Staten Island, NY, 10314",05/16/2019,6:00 PM - 10:00 PM,$25.00,ERIC ROMAN,40.59501726,-74.18552471
74,"Victor Farmington Ambulance  1321 East Victor Road, Victor, NY, 14564",05/09/19,6:00 PM - 7:30 PM,$0.00,Rob L. Merkel,42.97267758,-77.38320249
75,"Victor Farmington Ambulance  1321 East Victor Road, Victor, NY, 14564",05/09/19,8:00 PM - 9:30 PM,$0.00,Rob L. Merkel,42.97267758,-77.38320249
76,"Ardsley Secor Volunteer Ambulance  19 American Legion Drive, ARDSLEY, NY, 10502",05/18/2019,10:30 AM - 12:30 PM,$0.00,Haitham  S. Rabadi,41.01191273,-73.84501418
77,"Langhorne Rod and Gun Club  251 Stoneyford Rd, Holland, PA, 18966",05/18/2019,1:00 PM - 4:00 PM,$0.00,Barry J. Burton,40.19562098,-74.94655749
78,"Fort Dix - Range 14  Building 9060 Cookstown Browns Mills Rd, Dix, NJ, 08640",07/20/2019,9:00 AM - 4:00 PM,$0.00,Pete Beringer,40.04366448,-74.56266832
79,"Quakertown Fire Company  67 Quakertown Road, Pittstown, NJ, 08867",05/23/2019,6:30 PM - 8:30 PM,$0.00,Cein R. Strange,40.5757634,-74.95697852
80,"Bernards High School  25 Olcott Ave, Bernardsville, NJ, 07924",05/21/2019,6:00 PM - 8:00 PM,$20.00,David J. Kotz,40.72241997,-74.56636997
81,"Granville Rescue Squad  52 East Potter Ave, Granville, NY, 12832",05/16/2019,7:00 PM - 9:00 PM,$0.00,Paul Zinn,43.40097765,-73.25752339
82,"Skenesborough Emergency Squad  57 Skenesborough Dr, Whitehall, NY, 12887",05/08/19,6:00 PM - 8:00 PM,$0.00,Paul Zinn,43.55304538,-73.40297012
83,"CRMC  2823 Fresno Street, Fresno, CA, 93721",05/28/2019,5:30 PM - 6:30 PM,$0.00,Abigail Armack,36.74228061,-119.7835576
84,"Scantic Valley YMCA (Wilbraham)  45 Post Office Park, Wilbraham, MA, 01095",05/23/2019,3:00 PM - 4:00 PM,$0.00,Lt. Matthew C. Sterling,42.15150947,-72.44199545
85,"Scantic Valley YMCA (Wilbraham)  45 Post Office Park, Wilbraham, MA, 01095",05/23/2019,4:00 PM - 5:00 PM,$0.00,Lt. Matthew C. Sterling,42.15150947,-72.44199545
86,"Scantic Valley YMCA (Wilbraham)  45 Post Office Park, Wilbraham, MA, 01095",05/23/2019,5:00 PM - 6:00 PM,$0.00,Lt. Matthew C. Sterling,42.15150947,-72.44199545
87,"Agawam Public Library  750 Cooper St, Agawam, MA, 01001",05/23/2019,4:00 PM - 5:30 PM,$0.00,Katherine H. Walles,42.07274008,-72.64294
88,"Richard Salter Storrs Library  693 Longmeadow Street, Longmeadow, MA, 01101",05/30/2019,6:00 PM - 8:00 PM,$0.00,Christopher M. Goshea,42.05241997,-72.58241997
89,"Little River Church  259 Northport Ave, Belfast, ME, 04915",05/20/2019,7:00 PM - 9:00 PM,$20.00,eric kliem,44.39892019,-68.98731027
90,"Center for Health Generations  57121 Sunnyslope Drive, Yucca Valley, CA, 92284",05/06/19,1:00 PM - 3:00 PM,$0.00,Gael Whetstone,34.12787254,-116.4173
91,"American Legions   412 Camino Real , Redondo Beach, CA, 90277",05/18/2019,12:30 PM - 3:30 PM,$45.00,Ken Takahashi,33.8365351,-118.381607
92,"JTED Law Enforcement Program at Camino Seco Campus  8727 E. 22nd Street, Tucson, AZ, 85712",05/11/19,8:00 AM - 10:00 AM,$0.00,Bruce A. Whitney,32.20648442,-110.8057612
93,"Abrams Public Health Center  3950 South Country Club Road, Tucson, AZ, 85714",10/26/2019,9:00 AM - 11:30 AM,$0.00,Bruce A. Whitney,32.17618936,-110.926414
94,"Abrams Public Health Center  3950 South Country Club Road, Tucson, AZ, 85714",09/28/2019,9:00 AM - 11:30 AM,$0.00,Bruce A. Whitney,32.17618936,-110.926414
95,"Rozar Park   1060 Keith Drive, Perry, GA, 31069",05/23/2019,6:00 PM - 8:00 PM,$0.00,Kristal C. Smith,32.46234175,-83.70747126
96,"Wheeler Elementary School  1818 S Avenida Del Sol, Tucson, AZ, 85710",05/08/19,1:15 PM - 2:15 PM,$0.00,Bruce A. Whitney,32.19952993,-110.84956
97,"Roberts-Naylor K-8 School  1701 S Columbus Blvd, Tucson, AZ, 85711",05/15/2019,7:30 AM - 8:30 AM,$0.00,Bruce A. Whitney,32.20249597,-110.9008711
98,"Thornydale Elementary School  7651 N Oldfather Drive, Tucson, AZ, 85741",07/31/2019,9:00 AM - 11:00 AM,$0.00,Bruce A. Whitney,32.34607,-111.0555101
99,"Campbell Community Center  1 W Campbell Ave, Campbell, CA, 95008",06/06/19,7:00 PM - 8:30 PM,$0.00,Michael Grodin,37.28713,-121.94993
100,"Grace Baptist Church Fellowship Hall  130 Ave G SE, Winter Haven, FL  33880, Winter Haven, FL, 33884",05/24/2019,10:00 AM - 11:30 AM,$0.00,Robert Dummett,28.01487653,-81.72524178
101,"Grace Baptist Church Fellowship Hall  130 Ave G SE, Winter Haven, FL  33880, Winter Haven, FL, 33884",05/03/19,10:00 AM - 11:30 AM,$0.00,Robert Dummett,28.01487653,-81.72524178
102,"Tucson East Stake Center   6901 East Kenyon Drive, Tucson, AZ, 85710",05/29/2019,11:00 AM - 1:00 PM,$0.00,Bruce A. Whitney,32.21347926,-110.8446544
103,"Abrams Public Health Center  3950 South Country Club Road, Tucson, AZ, 85714",05/23/2019,9:00 AM - 11:30 AM,$0.00,Bruce A. Whitney,32.17618936,-110.926414
104,"Calvary Tucson Church - West Campus  5170 South Julian Drive, Tucson, AZ, 85706",06/08/19,8:00 AM - 10:00 AM,$0.00,Bruce A. Whitney,32.15870924,-110.9200248
105,"Mountain View High School  3901 West Linda Vista Blvd., Tucson, AZ, 85742",06/03/19,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.38020003,-111.0485401
106,"Mountain View High School  3901 West Linda Vista Blvd., Tucson, AZ, 85742",06/04/19,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.38020003,-111.0485401
107,"Mountain View High School  3901 West Linda Vista Blvd., Tucson, AZ, 85742",06/05/19,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.38020003,-111.0485401
108,"Mountain View High School  3901 West Linda Vista Blvd., Tucson, AZ, 85742",06/06/19,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.38020003,-111.0485401
109,"Mountain View High School  3901 West Linda Vista Blvd., Tucson, AZ, 85742",06/07/19,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.38020003,-111.0485401
110,"Desert View High School   4101 East Valencia Road, Tucson, AZ, 85706",06/17/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.13540003,-110.90444
111,"Desert View High School   4101 East Valencia Road, Tucson, AZ, 85706",06/18/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.13540003,-110.90444
112,"Desert View High School   4101 East Valencia Road, Tucson, AZ, 85706",06/20/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.13540003,-110.90444
113,"Desert View High School   4101 East Valencia Road, Tucson, AZ, 85706",06/21/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.13540003,-110.90444
114,"Cienega High School  12775 East Mary Ann Cleveland Way, Vail, AZ, 85641",06/24/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.05554005,-110.7218899
115,"Cienega High School  12775 East Mary Ann Cleveland Way, Vail, AZ, 85641",06/25/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.05554005,-110.7218899
116,"Cienega High School  12775 East Mary Ann Cleveland Way, Vail, AZ, 85641",06/26/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.05554005,-110.7218899
117,"Cienega High School  12775 East Mary Ann Cleveland Way, Vail, AZ, 85641",06/27/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.05554005,-110.7218899
118,"Cienega High School  12775 East Mary Ann Cleveland Way, Vail, AZ, 85641",06/28/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.05554005,-110.7218899
119,"Amphi Unified School District  200 East Roger Road, Tucson, AZ, 85705",05/13/2019,9:15 AM - 10:45 AM,$0.00,Bruce A. Whitney,32.27916048,-110.9686416
120,"Desert View High School   4101 East Valencia Road, Tucson, AZ, 85701",06/19/2019,10:30 AM - 12:00 PM,$0.00,Bruce A. Whitney,32.13540003,-110.90444
121,"Pima County Public Service Center  240 N. Stone Ave., Tucson, AZ, 85701",06/19/2019,9:45 AM - 11:00 AM,$0.00,Bruce A. Whitney,32.22538231,-110.9717212
122,"Pima County Public Service Center  240 N. Stone Ave., Tucson, AZ, 85701",06/19/2019,1:45 PM - 3:15 PM,$0.00,Bruce A. Whitney,32.22538231,-110.9717212
123,"Killingworth Ambulance Association  335 Route 81, Killingworth, CT, 06419",05/11/19,9:00 AM - 10:00 AM,$0.00,carolyn rambus,41.36962689,-72.56486809
124,"Granby Ambulance Association  1 Pegville Rd, Granby, CT, 06035",05/14/2019,6:30 PM - 8:30 PM,$0.00,Katherine Coupe,41.97405287,-72.80851195
125,"Granby Ambulance Association  1 Pegville Rd, Granby, CT, 06035",05/31/2019,9:00 AM - 11:00 AM,$0.00,Katherine Coupe,41.97405287,-72.80851195
126,"Litchfield Community Center  421 Bantam Road, Litchfield, CT, 06759",06/17/2019,4:00 PM - 6:00 PM,$0.00,Sarah E. Curulla,41.73526133,-73.21573414
127,"New Life Temple Fellowship  131 East Noble Ave, Williston, FL, 32696",05/04/19,10:00 AM - 12:00 PM,$0.00,James P. Bowlin,29.38765078,-82.4455373
128,"Vesta Rescue Squad  2929 Jeb Stuart HWY, Meadows of Dan, VA, 24120",05/14/2019,6:00 PM - 7:00 PM,$0.00,Dustin Thomas,36.73584627,-80.40384735
129,"Isle of Wight Vol. Rescue Squad  13080 Great Spring Road, Smithfield, VA, 23430",05/18/2019,11:30 AM - 3:00 PM,$0.00,Dwain L. Rodman,36.96089167,-76.63309058
130,"Bennington Rescue  120 McKinley Street, Bennington, VT, 05201",05/23/2019,3:00 PM - 4:00 PM,$0.00,William Camarda,42.88271863,-73.20462858
131,"Bennington Rescue  120 McKinley Street, Bennington, VT, 05201",05/23/2019,4:00 PM - 5:00 PM,$0.00,William Camarda,42.88271863,-73.20462858
132,"Bennington Rescue  120 McKinley Street, Bennington, VT, 05201",05/23/2019,5:00 PM - 6:00 PM,$0.00,William Camarda,42.88271863,-73.20462858
133,"Bennington Rescue  120 McKinley Street, Bennington, VT, 05201",05/23/2019,6:00 PM - 7:00 PM,$0.00,William Camarda,42.88271863,-73.20462858
134,"Bennington Rescue  120 McKinley Street, Bennington, VT, 05201",05/23/2019,7:00 PM - 8:00 PM,$0.00,William Camarda,42.88271863,-73.20462858
135,"Bennington Rescue  120 McKinley Street, Bennington, VT, 05201",05/23/2019,8:00 PM - 9:00 PM,$0.00,William Camarda,42.88271863,-73.20462858
136,"Community Volunteer Fire Department   16003 Bellaire Bvd, Houston , TX, 77083",05/18/2019,10:00 AM - 12:00 PM,$0.00,Katherine L. Samuel,29.70070091,-95.66716566
137,"University of Houston - Sugar Land   14000 University Blvd. , Sugar Land , TX, 77479",05/18/2019,2:00 PM - 4:00 PM,$0.00,Katherine L. Samuel,29.57675993,-95.64804007
138,"Community Volunteer Fire Department   16003 Bellaire Blvd. , Houston, TX, 77083",05/18/2019,1:00 PM - 3:00 PM,$0.00,Katherine L. Samuel,29.70070091,-95.66716566
139,"Clear Lake Shores Historic Clubhouse  931 Cedar, Clear Lake Shores, TX, 77565",05/23/2019,10:00 AM - 12:00 PM,$0.00,Tommy Duvall,29.54627385,-95.03224955
140,"Clear Lake Shores Historic Clubhouse  931 Cedar, Clear Lake Shores, TX, 77565",05/23/2019,12:00 PM - 2:00 PM,$0.00,Tommy Duvall,29.54627385,-95.03224955
141,"Clear Lake Shores Historic Clubhouse  931 Cedar, Clear Lake Shores, TX, 77565",05/23/2019,2:00 PM - 4:00 PM,$0.00,Tommy Duvall,29.54627385,-95.03224955
142,"Arlington Sportsmans Club  11500 County Rd 525, Mansfield, TX, 76063",05/26/2019,10:00 AM - 12:00 PM,$0.00,Robert Klenka,32.53839527,-97.17500014
143,"Waco Range  Waco Range, Waco, TX, 76633",05/18/2019,10:00 AM - 5:00 PM,$40.00,Robert Klenka,31.60858617,-97.29254427
144,"The Academy Dallas  8113 Ridgepoint Dr #204, Irving, TX, 75063",05/11/19,9:00 AM - 11:00 AM,$0.00,Robert Klenka,32.9152847,-96.98560871
145,"Clinton First Aid & Rescue Squad  48 Old Highway 22, Clinton, NJ, 08809",05/08/19,7:00 PM - 9:00 PM,$0.00,H Bucky Buchanan,40.63770055,-74.90549134
146,"Cary Area EMS  107 Medcon Ct, Cary, NC, 27511",05/30/2019,6:30 PM - 7:30 PM,$0.00,Chasidy Kearns,35.77348056,-78.78082613
147,"Cary Area EMS  107 Medcon Ct, Cary, NC, 27511",06/08/19,8:00 AM - 9:00 AM,$0.00,Chasidy Kearns,35.77348056,-78.78082613
148,"Cary Area EMS  107 Medcon Ct, Cary, NC, 27511",08/22/2019,6:30 PM - 7:30 PM,$0.00,Chasidy Kearns,35.77348056,-78.78082613
149,"(GVEC) Guadalupe Valley Electric Cooperative  825 East Sarah Dewitt, Gonzales, TX, 78629",05/07/19,8:30 AM - 11:30 AM,$0.00,Allen C. Linebrink,29.5036272,-97.4500881
150,"(GVEC) Guadalupe Valley Electric Cooperative  825 East Sarah Dewitt, Gonzales, TX, 78629",05/08/19,8:30 AM - 11:30 AM,$0.00,Allen C. Linebrink,29.5036272,-97.4500881
151,"(GVEC) Guadalupe Valley Electric Cooperative  825 East Sarah Dewitt, Gonzales, TX, 78629",05/21/2019,8:30 AM - 11:30 AM,$0.00,Allen C. Linebrink,29.5036272,-97.4500881
152,"(GVEC) Guadalupe Valley Electric Cooperative  825 East Sarah Dewitt, Gonzales, TX, 78629",05/22/2019,8:30 AM - 11:30 AM,$0.00,Allen C. Linebrink,29.5036272,-97.4500881
